,Marque,Modèle,Année-Modèle,Kilométrage,Type de carburant,Puissance fiscale,Boite de vitesses,Nombre de portes,Origine,Première main,État,Jantes aluminium,Airbags,Climatisation,Système de navigation/GPS,Toit ouvrant,Sièges cuir,Radar de recul,Caméra de recul,Vitres électriques,ABS,ESP,Régulateur de vitesse,Limiteur de vitesse,CD/MP3/Bluetooth,Ordinateur de bord,Verrouillage centralisé à distance,Prix
110,BMW,Serie 5,2017,124999.5,Diesel,12,Automatique,5,Importée neuve,Non,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,430000
112,Dacia,Duster,2015,134999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123000
113,Ford,C-Max,2019,12499.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,173000
114,Fiat,Doblo,2016,2499.5,Diesel,5,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,78000
116,Peugeot,508,2015,134999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,125000
117,Mercedes-Benz,Classe E,2010,224999.5,Diesel,9,Manuelle,5,Dédouanée,Non,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,155000
118,Renault,Clio,2019,42499.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,122000
121,Volkswagen,Touareg,2009,2499.5,Diesel,8,Manuelle,5,WW au Maroc,Non,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90000
122,Ford,Fiesta,2018,77499.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,125000
124,Toyota,Corolla,2017,47499.5,Diesel,5,Manuelle,5,WW au Maroc,Non,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000
127,BMW,X1,2011,224999.5,Diesel,8,Manuelle,5,Dédouanée,Non,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,130000
128,Mercedes-Benz,Classe A,2020,37499.5,Diesel,9,Automatique,5,Importée neuve,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,500000
131,Volkswagen,Jetta,2021,42499.5,Diesel,8,Automatique,5,Importée neuve,Oui,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235000
132,Fiat,500L,2016,62499.5,Diesel,7,Automatique,5,WW au Maroc,Non,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133000
135,Renault,Clio,2015,184999.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,103000
137,Toyota,Corolla,2006,224999.5,Diesel,8,Manuelle,5,Importée neuve,Non,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,73000
138,Toyota,Yaris,2013,144999.5,Essence,6,Manuelle,5,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,72000
139,Audi,A4,2003,184999.5,Diesel,8,Manuelle,5,Importée neuve,Non,Bon,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,63000
141,Renault,Clio,2019,47499.5,Diesel,7,Manuelle,5,Dédouanée,Non,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,89000
145,Ford,Focus,2007,224999.5,Essence,9,Manuelle,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,65000
148,Renault,Laguna,2003,2499.5,Diesel,7,Manuelle,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,63000
149,Dacia,Logan,2018,174999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,89000
150,Fiat,Punto,2013,104999.5,Essence,5,Manuelle,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,71000
151,Peugeot,208,2014,47499.5,Diesel,7,Manuelle,5,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,85000
152,Volkswagen,Jetta,2018,154999.5,Diesel,8,Automatique,5,WW au Maroc,Oui,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155000
